Title: Gale2013MORB-7

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.130519 99.164732 0.000000 0.965787 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.130262 98.350307 0.000000 1.779955 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.129984 97.545492 0.000000 2.584492 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.129684 96.749515 0.000000 3.380170 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.129362 95.961604 0.000000 4.167758 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.129014 95.180991 0.000000 4.948023 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.128640 94.406907 0.000000 5.721733 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.128238 93.638581 0.000000 6.489657 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.127807 92.875241 0.000000 7.252566 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.126021 89.729545 0.000000 0.000000 10.396477 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.125360 88.383167 0.000000 0.000000 11.742193 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.124689 86.935296 0.000000 0.000000 13.189394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.124034 85.363355 0.000000 0.000000 14.760679 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1508.15 100.122706 81.721568 0.000000 0.000000 16.966491 0.000000 0.000000 1.434647 0.000000 0.000000 0.000000 
5000.00 1503.15 100.119796 74.164202 0.000000 0.000000 20.113588 0.000000 0.000000 5.842006 0.000000 0.000000 0.000000 
5000.00 1498.15 100.117019 67.519804 0.000000 0.000000 22.889814 0.000000 0.000000 9.707401 0.000000 0.000000 0.000000 
5000.00 1493.15 100.114352 61.625490 0.000000 0.000000 25.361563 0.000000 0.000000 13.127299 0.000000 0.000000 0.000000 
5000.00 1488.15 100.111773 56.358430 0.000000 0.000000 27.580334 0.000000 0.000000 16.173009 0.000000 0.000000 0.000000 
5000.00 1483.15 100.109269 51.624819 0.000000 0.000000 29.585868 0.000000 0.000000 18.898582 0.000000 0.000000 0.000000 
5000.00 1478.15 100.106825 47.352038 0.000000 0.000000 31.408753 0.000000 0.000000 21.346035 0.000000 0.000000 0.000000 
5000.00 1473.15 100.104432 43.481893 0.000000 0.000000 33.072832 0.000000 0.000000 23.549707 0.000000 0.000000 0.000000 
5000.00 1468.15 100.102194 39.973741 0.000000 0.000000 33.544889 1.070127 0.000000 25.513436 0.000000 0.000000 0.000000 
5000.00 1463.15 100.100004 36.785453 0.000000 0.000000 33.854135 2.177709 0.000000 27.282708 0.000000 0.000000 0.000000 
5000.00 1458.15 100.097850 33.889071 0.000000 0.000000 34.104683 3.227890 0.000000 28.876205 0.000000 0.000000 0.000000 
5000.00 1453.15 100.095728 31.262090 0.000000 0.000000 34.311043 4.214380 0.000000 30.308214 0.000000 0.000000 0.000000 
5000.00 1448.15 100.093635 28.885369 0.000000 0.000000 34.483046 5.133913 0.000000 31.591306 0.000000 0.000000 0.000000 
5000.00 1443.15 100.091572 26.741766 0.000000 0.000000 34.627199 5.985641 0.000000 32.736966 0.000000 0.000000 0.000000 
5000.00 1438.15 100.089541 24.815050 0.000000 0.000000 34.747758 6.770664 0.000000 33.756069 0.000000 0.000000 0.000000 
5000.00 1433.15 100.087545 23.089149 0.000000 0.000000 34.847563 7.491634 0.000000 34.659199 0.000000 0.000000 0.000000 
5000.00 1428.15 100.085589 21.547787 0.000000 0.000000 34.928656 8.152374 0.000000 35.456772 0.000000 0.000000 0.000000 
5000.00 1423.15 100.083678 20.174447 0.000000 0.000000 34.992711 8.757499 0.000000 36.159021 0.000000 0.000000 0.000000 
5000.00 1418.15 100.081816 18.952589 0.000000 0.000000 35.041299 9.312048 0.000000 36.775880 0.000000 0.000000 0.000000 
5000.00 1413.15 100.080009 17.866018 0.000000 0.000000 35.076028 9.821156 0.000000 37.316807 0.000000 0.000000 0.000000 
5000.00 1408.15 100.078260 16.899270 0.000000 0.000000 35.098583 10.289796 0.000000 37.790611 0.000000 0.000000 0.000000 
5000.00 1403.15 100.076530 16.009611 0.000000 0.000000 35.110101 10.735447 0.000000 38.205351 0.000000 0.000000 0.016020 
5000.00 1398.15 100.074881 15.222907 0.000000 0.000000 35.112870 11.145202 0.000000 38.566755 0.000000 0.000000 0.027147 
5000.00 1393.15 100.073303 14.519685 0.000000 0.000000 35.108821 11.525895 0.000000 38.881657 0.000000 0.000000 0.037244 
5000.00 1388.15 100.071657 13.767583 0.000000 0.000000 35.054928 11.910010 0.000000 39.212129 0.000000 0.075029 0.051978 
5000.00 1383.15 100.069748 12.874802 0.000000 0.000000 34.899207 12.302249 0.000000 39.626313 0.000000 0.291700 0.075477 
5000.00 1378.15 100.067894 12.123560 0.000000 0.000000 34.747159 12.634708 0.000000 39.996506 0.000000 0.471255 0.094706 
5000.00 1373.15 100.066107 11.480578 0.000000 0.000000 34.598398 12.923353 0.000000 40.329760 0.000000 0.623232 0.110785 
5000.00 1368.15 100.064384 10.920120 0.000000 0.000000 34.452538 13.179225 0.000000 40.632279 0.000000 0.754565 0.125658 
5000.00 1363.15 100.062730 10.428073 0.000000 0.000000 34.310178 13.408619 0.000000 40.908165 0.000000 0.869097 0.138598 
5000.00 1358.15 100.061143 9.991900 0.000000 0.000000 34.171459 13.616607 0.000000 41.161142 0.000000 0.970078 0.149957 
5000.00 1353.15 100.059619 9.602007 0.000000 0.000000 34.036474 13.806913 0.000000 41.394259 0.000000 1.059940 0.160026 
5000.00 1348.15 100.058155 9.250951 0.000000 0.000000 33.905283 13.982335 0.000000 41.610026 0.000000 1.140539 0.169022 
