Title: Gale2013MORB

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
5000.00 1573.15 99.399075 50.4612 1.54156 14.9651 1.39953 8.82086 0.17314 7.69786 11.3615 2.7628 0.144166 0.169217 0.503023
5000.00 1563.15 99.399374 50.4611 1.54156 14.9651 1.40253 8.81814 0.17314 7.69784 11.3614 2.76279 0.144166 0.169216 0.503021
5000.00 1553.15 99.399695 50.4609 1.54155 14.965 1.40574 8.81521 0.173139 7.69781 11.3614 2.76279 0.144165 0.169216 0.50302
5000.00 1543.15 99.400037 50.4607 1.54155 14.965 1.40917 8.81209 0.173139 7.69778 11.3614 2.76278 0.144165 0.169215 0.503018
5000.00 1533.15 99.400402 50.4606 1.54154 14.9649 1.41283 8.80876 0.173138 7.69776 11.3613 2.76277 0.144164 0.169215 0.503016
5000.00 1523.15 99.400791 50.4604 1.54154 14.9649 1.41673 8.80521 0.173137 7.69773 11.3613 2.76275 0.144164 0.169214 0.503014
5000.00 1513.15 99.400328 50.4606 1.54154 14.9649 1.41209 8.80944 0.173138 7.69776 11.3613 2.76277 0.144165 0.169215 0.503016
5000.00 1503.15 94.354770 50.4 1.60467 15.517 1.42275 8.93304 0.182397 7.15282 11.0293 2.8979 0.151874 0.178263 0.529915
5000.00 1493.15 89.477986 50.3584 1.66847 16.0877 1.43202 9.05416 0.192338 6.59898 10.6593 3.04183 0.160151 0.187979 0.558797
5000.00 1483.15 85.116992 50.3396 1.7275 16.6321 1.43911 9.16169 0.202192 6.07774 10.2834 3.18336 0.168357 0.19761 0.587427
5000.00 1473.15 81.201281 50.3428 1.78143 17.1504 1.44346 9.2558 0.211942 5.5874 9.90512 3.32229 0.176475 0.20714 0.615754
5000.00 1463.15 77.440625 50.3669 1.8355 17.6051 1.43707 9.37307 0.222235 5.13813 9.51483 3.45935 0.184968 0.217199 0.645656
5000.00 1453.15 71.072387 50.3741 1.9668 17.5052 1.47587 9.85213 0.242147 4.8702 8.97405 3.59909 0.200186 0.23666 0.703508
5000.00 1443.15 64.816566 50.3327 2.13144 17.2968 1.53557 10.3072 0.265519 4.52924 8.61279 3.74023 0.21768 0.259502 0.771408
5000.00 1433.15 59.384508 50.2717 2.30293 17.0613 1.59992 10.7416 0.289806 4.19094 8.30751 3.87343 0.235596 0.283239 0.84197
5000.00 1423.15 54.780558 50.204 2.47141 16.8292 1.6622 11.1594 0.314163 3.8745 8.01457 3.99742 0.253345 0.307043 0.912733
5000.00 1413.15 50.824978 50.1315 2.63628 16.6015 1.72277 11.5617 0.338613 3.57752 7.73132 4.11325 0.270953 0.33094 0.983768
