Title: Gale2013MORB-2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 rhm-oxide_0 whitlockite 
5000.00 1573.15 100.146745 100.146745 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.146900 100.146900 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.147060 100.147060 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.147227 100.147227 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.147399 100.147399 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.147577 100.147577 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.147760 100.147760 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.147950 100.147950 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.147654 98.496305 0.000000 1.651348 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.147319 95.697842 0.000000 4.449477 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.147203 92.960993 0.000000 7.186209 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.147283 90.312240 0.000000 9.835042 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.147238 86.803183 0.000000 12.624150 0.000000 0.000000 0.719905 0.000000 0.000000 
5000.00 1508.15 100.145559 78.770028 0.000000 16.337305 0.000000 0.000000 5.038226 0.000000 0.000000 
5000.00 1503.15 100.143779 71.323791 0.000000 18.849234 0.817813 0.000000 9.152941 0.000000 0.000000 
5000.00 1498.15 100.142117 64.593072 0.000000 19.071697 3.551140 0.000000 12.926209 0.000000 0.000000 
5000.00 1493.15 100.140602 58.595725 0.000000 19.285392 5.971725 0.000000 16.287761 0.000000 0.000000 
5000.00 1488.15 100.139220 53.199977 0.000000 19.512540 8.121077 0.000000 19.305626 0.000000 0.000000 
5000.00 1483.15 100.137958 48.304731 0.000000 19.762514 10.038394 0.000000 22.032319 0.000000 0.000000 
5000.00 1478.15 100.136806 43.830871 0.000000 20.036647 11.759904 0.000000 24.509385 0.000000 0.000000 
5000.00 1473.15 100.135753 39.714073 0.000000 20.331456 13.318791 0.000000 26.771432 0.000000 0.000000 
5000.00 1468.15 100.134784 35.904175 0.000000 20.641457 14.743335 0.000000 28.845817 0.000000 0.000000 
5000.00 1463.15 100.133884 32.361196 0.000000 20.960111 16.057609 0.000000 30.754968 0.000000 0.000000 
5000.00 1458.15 100.133031 29.052933 0.000000 21.280359 17.281945 0.000000 32.517793 0.000000 0.000000 
5000.00 1453.15 100.132196 25.953927 0.000000 21.594895 18.433181 0.000000 34.150193 0.000000 0.000000 
5000.00 1448.15 100.131340 23.045487 0.000000 21.896313 19.524811 0.000000 35.664729 0.000000 0.000000 
5000.00 1443.15 100.130419 20.317834 0.000000 22.177568 20.566805 0.000000 37.068213 0.000000 0.000000 
5000.00 1438.15 100.129336 17.707946 0.000000 22.448138 21.592163 0.000000 38.359117 0.000000 0.021972 
5000.00 1433.15 100.128167 15.299194 0.000000 22.699747 22.583596 0.000000 39.492874 0.000000 0.052757 
5000.00 1428.15 100.127070 13.188060 0.000000 22.931771 23.514646 0.000000 40.412861 0.000000 0.079731 
5000.00 1423.15 100.126165 11.400951 0.000000 23.152786 24.376138 0.000000 41.092620 0.000000 0.103671 
5000.00 1418.15 100.125441 9.905367 0.000000 23.362104 25.169782 0.000000 41.562825 0.000000 0.125364 
5000.00 1413.15 100.124775 8.642868 0.000000 23.552338 25.903203 0.000000 41.881050 0.000000 0.145315 
5000.00 1408.15 100.124021 7.564398 0.000000 23.716316 26.581305 0.000000 42.098275 0.000000 0.163727 
5000.00 1403.15 100.123074 6.637509 0.000000 23.850236 27.204077 0.000000 42.250645 0.000000 0.180606 
5000.00 1398.15 100.121945 4.915177 0.000000 24.507461 27.189941 0.000000 42.787442 0.490610 0.231314 
