Title: Gale2013MORB-3

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.143462 100.143462 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.143614 100.143614 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.143771 100.143771 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.143934 100.143934 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.144103 100.144103 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.144277 100.144277 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.144457 100.144457 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.144643 100.144643 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.144835 100.144835 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.144846 99.765321 0.000000 0.379525 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.144053 94.952007 0.000000 0.000000 5.192046 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.144057 92.281575 0.000000 0.000000 7.862482 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.142755 85.319763 0.000000 0.000000 11.563286 0.000528 0.000000 3.259178 0.000000 0.000000 0.000000 
5000.00 1508.15 100.140605 76.661815 0.000000 0.000000 12.060321 3.344707 0.000000 8.073762 0.000000 0.000000 0.000000 
5000.00 1503.15 100.138645 69.139374 0.000000 0.000000 12.495974 6.234347 0.000000 12.268950 0.000000 0.000000 0.000000 
5000.00 1498.15 100.136848 62.516405 0.000000 0.000000 12.916994 8.737211 0.000000 15.966237 0.000000 0.000000 0.000000 
5000.00 1493.15 100.135195 56.619865 0.000000 0.000000 13.347004 10.913525 0.000000 19.254801 0.000000 0.000000 0.000000 
5000.00 1488.15 100.133671 51.319827 0.000000 0.000000 13.794466 12.817556 0.000000 22.201821 0.000000 0.000000 0.000000 
5000.00 1483.15 100.132261 46.516785 0.000000 0.000000 14.258916 14.497509 0.000000 24.859051 0.000000 0.000000 0.000000 
5000.00 1478.15 100.130954 42.133145 0.000000 0.000000 14.735237 15.995333 0.000000 27.267240 0.000000 0.000000 0.000000 
5000.00 1473.15 100.129735 38.106274 0.000000 0.000000 15.216048 17.347423 0.000000 29.459990 0.000000 0.000000 0.000000 
5000.00 1468.15 100.128589 34.388010 0.000000 0.000000 15.693796 18.583447 0.000000 31.463336 0.000000 0.000000 0.000000 
5000.00 1463.15 100.127497 30.941040 0.000000 0.000000 16.161097 19.727605 0.000000 33.297756 0.000000 0.000000 0.000000 
5000.00 1458.15 100.126436 27.737046 0.000000 0.000000 16.610931 20.799402 0.000000 34.979058 0.000000 0.000000 0.000000 
5000.00 1453.15 100.125382 24.756498 0.000000 0.000000 17.036880 21.813900 0.000000 36.518103 0.000000 0.000000 0.000000 
5000.00 1448.15 100.124307 21.989698 0.000000 0.000000 17.433647 22.781514 0.000000 37.919448 0.000000 0.000000 0.000000 
5000.00 1443.15 100.123193 19.438935 0.000000 0.000000 17.798194 23.707181 0.000000 39.178884 0.000000 0.000000 0.000000 
5000.00 1438.15 100.122047 17.119626 0.000000 0.000000 18.131448 24.589310 0.000000 40.281664 0.000000 0.000000 0.000000 
5000.00 1433.15 100.120911 15.054229 0.000000 0.000000 18.438940 25.420557 0.000000 41.207185 0.000000 0.000000 0.000000 
5000.00 1428.15 100.119844 13.255060 0.000000 0.000000 18.727669 26.193021 0.000000 41.944093 0.000000 0.000000 0.000000 
5000.00 1423.15 100.118808 11.651176 0.000000 0.000000 19.017301 26.929628 0.000000 42.498558 0.000000 0.000000 0.022145 
5000.00 1418.15 100.117828 10.273144 0.000000 0.000000 19.286053 27.612297 0.000000 42.902866 0.000000 0.000000 0.043467 
5000.00 1413.15 100.116822 9.083603 0.000000 0.000000 19.527087 28.248667 0.000000 43.194275 0.000000 0.000000 0.063190 
5000.00 1408.15 100.115703 8.049284 0.000000 0.000000 19.734981 28.845185 0.000000 43.404661 0.000000 0.000000 0.081591 
5000.00 1403.15 100.114399 7.146482 0.000000 0.000000 19.906704 29.404151 0.000000 43.558269 0.000000 0.000000 0.098794 
5000.00 1398.15 100.112502 5.055477 0.000000 0.000000 20.715338 29.190433 0.000000 44.285622 0.000000 0.699820 0.165813 
5000.00 1393.15 100.110442 3.931562 0.000000 0.000000 21.099757 29.150695 0.000000 44.695535 0.000000 1.032789 0.200103 
5000.00 1388.15 100.108324 3.103377 0.000000 0.000000 21.369560 29.093421 0.000000 45.031169 0.000000 1.285111 0.225686 
5000.00 1383.15 100.106227 2.470262 0.000000 0.000000 21.563349 29.029998 0.000000 45.314561 0.000000 1.482540 0.245518 
5000.00 1378.15 100.104194 1.970660 0.000000 0.000000 21.705498 28.966234 0.000000 45.559081 0.000000 1.641298 0.261423 
5000.00 1373.15 100.102249 1.566018 0.000000 0.000000 21.812206 28.904889 0.000000 45.772676 0.000000 1.771892 0.274568 
5000.00 1368.15 100.100415 1.230044 0.000000 0.000000 21.895553 28.846636 0.000000 45.960102 0.000000 1.881955 0.286123 
5000.00 1363.15 100.097704 0.832592 0.067257 0.000000 21.960449 28.706969 0.000000 46.210082 0.000000 2.016374 0.303981 
5000.00 1358.15 100.093395 0.342100 0.222023 0.000000 21.976669 28.461542 0.000000 46.577553 0.000000 2.183921 0.329586 
5000.00 1353.15 100.089821 0.043118 0.284217 0.000000 21.924197 28.353152 0.000000 46.868578 0.000000 2.275315 0.341243 
5000.00 1348.15 100.088618 0.000000 0.296873 0.000000 21.949735 28.313738 0.000000 46.903037 0.000000 2.282537 0.342699 
5000.00 1343.15 100.087867 0.000000 0.304185 0.000000 21.993908 28.282885 0.000000 46.888229 0.000000 2.275961 0.342699 
5000.00 1338.15 100.087114 0.000000 0.311472 0.000000 22.036592 28.253825 0.000000 46.873301 0.000000 2.269225 0.342699 
5000.00 1333.15 100.086358 0.000000 0.318733 0.000000 22.077867 28.226490 0.000000 46.858248 0.000000 2.262320 0.342699 
5000.00 1328.15 100.085600 0.000000 0.325966 0.000000 22.117806 28.200819 0.000000 46.843068 0.000000 2.255242 0.342699 
5000.00 1323.15 100.084839 0.000000 0.333168 0.000000 22.156477 28.176758 0.000000 46.827758 0.000000 2.247981 0.342699 
5000.00 1318.15 100.084077 0.000000 0.340339 0.000000 22.193940 28.154258 0.000000 46.812312 0.000000 2.240529 0.342699 
5000.00 1313.15 100.083312 0.000000 0.347476 0.000000 22.230254 28.133276 0.000000 46.796728 0.000000 2.232879 0.342699 
5000.00 1308.15 100.082544 0.000000 0.354578 0.000000 22.265470 28.113776 0.000000 46.781001 0.000000 2.225021 0.342699 
5000.00 1303.15 100.081774 0.000000 0.361643 0.000000 22.299634 28.095726 0.000000 46.765128 0.000000 2.216944 0.342699 
5000.00 1298.15 100.081002 0.000000 0.368670 0.000000 22.332788 28.079100 0.000000 46.749106 0.000000 2.208639 0.342699 
5000.00 1293.15 100.080227 0.000000 0.375658 0.000000 22.364973 28.063874 0.000000 46.732930 0.000000 2.200093 0.342699 
5000.00 1288.15 100.079450 0.000000 0.382603 0.000000 22.396224 28.050034 0.000000 46.716595 0.000000 2.191295 0.342699 
5000.00 1283.15 100.078670 0.000000 0.389504 0.000000 22.426576 28.037566 0.000000 46.700095 0.000000 2.182230 0.342699 
5000.00 1278.15 100.077887 0.000000 0.396359 0.000000 22.456057 28.026464 0.000000 46.683424 0.000000 2.172885 0.342699 
5000.00 1273.15 100.077102 0.000000 0.403165 0.000000 22.484695 28.016724 0.000000 46.666575 0.000000 2.163243 0.342699 
5000.00 1268.15 100.076313 0.000000 0.409921 0.000000 22.512515 28.008350 0.000000 46.649541 0.000000 2.153288 0.342699 
5000.00 1263.15 100.075047 0.000000 0.417246 0.000000 22.340436 28.049013 0.192863 46.616216 0.000000 2.116574 0.342699 
5000.00 1258.15 100.073135 0.000000 0.425273 0.000000 21.903868 28.154076 0.642807 46.560821 0.000000 2.043591 0.342699 
5000.00 1253.15 100.071247 0.000000 0.433099 0.000000 21.483681 28.256145 1.078379 46.505911 0.000000 1.971334 0.342699 
5000.00 1248.15 100.069382 0.000000 0.440725 0.000000 21.079146 28.355269 1.500216 46.451508 0.000000 1.899819 0.342699 
5000.00 1243.15 100.067542 0.000000 0.448157 0.000000 20.689584 28.451498 1.908910 46.397636 0.000000 1.829059 0.342699 
5000.00 1238.15 100.065727 0.000000 0.455397 0.000000 20.314358 28.544879 2.305011 46.344315 0.000000 1.759069 0.342699 
5000.00 1233.15 100.063937 0.000000 0.462449 0.000000 19.952868 28.635462 2.689032 46.291566 0.000000 1.689860 0.342699 
5000.00 1228.15 100.062172 0.000000 0.469316 0.000000 19.604554 28.723295 3.061452 46.239410 0.000000 1.621446 0.342699 
5000.00 1223.15 100.060433 0.000000 0.476002 0.000000 19.268884 28.808426 3.422719 46.187867 0.000000 1.553837 0.342699 
5000.00 1218.15 100.058721 0.000000 0.482511 0.000000 18.945358 28.890902 3.773253 46.136954 0.000000 1.487043 0.342699 
5000.00 1213.15 100.057035 0.000000 0.488846 0.000000 18.633504 28.970773 4.113448 46.086690 0.000000 1.421076 0.342699 
5000.00 1208.15 100.055376 0.000000 0.495011 0.000000 18.332873 29.048085 4.443674 46.037091 0.000000 1.355943 0.342699 
5000.00 1203.15 100.053744 0.000000 0.501009 0.000000 18.043042 29.122887 4.764282 45.988174 0.000000 1.291653 0.342699 
