Title: Gale2013MORB-3

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.143462 36.463120 36.463120 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.143614 36.450778 36.450778 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.143771 36.438441 36.438441 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.143934 36.426107 36.426107 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.144103 36.413778 36.413778 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.144277 36.401452 36.401452 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.144457 36.389130 36.389130 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.144643 36.376813 36.376813 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.144835 36.364499 36.364499 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.144846 36.334969 36.217653 0.000000 0.117316 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.144053 36.096489 34.494244 0.000000 0.000000 1.602245 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.144057 35.957876 33.534231 0.000000 0.000000 2.423644 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.142755 35.741918 30.961950 0.000000 0.000000 3.557161 0.000162 0.000000 1.222644 0.000000 0.000000 0.000000 
5000.00 1508.15 100.140605 35.507247 27.748004 0.000000 0.000000 3.703442 1.023962 0.000000 3.031839 0.000000 0.000000 0.000000 
5000.00 1503.15 100.138645 35.301830 24.955135 0.000000 0.000000 3.830513 1.904563 0.000000 4.611619 0.000000 0.000000 0.000000 
5000.00 1498.15 100.136848 35.119431 22.496331 0.000000 0.000000 3.952775 2.663530 0.000000 6.006796 0.000000 0.000000 0.000000 
5000.00 1493.15 100.135195 34.955498 20.307853 0.000000 0.000000 4.077465 3.319937 0.000000 7.250243 0.000000 0.000000 0.000000 
5000.00 1488.15 100.133671 34.806632 18.341878 0.000000 0.000000 4.207144 3.890895 0.000000 8.366715 0.000000 0.000000 0.000000 
5000.00 1483.15 100.132261 34.670256 16.561802 0.000000 0.000000 4.341641 4.391537 0.000000 9.375275 0.000000 0.000000 0.000000 
5000.00 1478.15 100.130954 34.544378 14.939089 0.000000 0.000000 4.479372 4.834991 0.000000 10.290926 0.000000 0.000000 0.000000 
5000.00 1473.15 100.129735 34.427425 13.450695 0.000000 0.000000 4.618075 5.232608 0.000000 11.126047 0.000000 0.000000 0.000000 
5000.00 1468.15 100.128589 34.318205 12.078910 0.000000 0.000000 4.755457 5.593631 0.000000 11.890206 0.000000 0.000000 0.000000 
5000.00 1463.15 100.127497 34.215820 10.810025 0.000000 0.000000 4.889294 5.925601 0.000000 12.590900 0.000000 0.000000 0.000000 
5000.00 1458.15 100.126436 34.119618 9.633646 0.000000 0.000000 5.017496 6.234602 0.000000 13.233875 0.000000 0.000000 0.000000 
5000.00 1453.15 100.125382 34.029178 8.542644 0.000000 0.000000 5.138174 6.525358 0.000000 13.823001 0.000000 0.000000 0.000000 
5000.00 1448.15 100.124307 33.944316 7.533581 0.000000 0.000000 5.249805 6.801191 0.000000 14.359739 0.000000 0.000000 0.000000 
5000.00 1443.15 100.123193 33.865106 6.607570 0.000000 0.000000 5.351561 7.063785 0.000000 14.842189 0.000000 0.000000 0.000000 
5000.00 1438.15 100.122047 33.791854 5.770715 0.000000 0.000000 5.443808 7.312898 0.000000 15.264433 0.000000 0.000000 0.000000 
5000.00 1433.15 100.120911 33.724941 5.031696 0.000000 0.000000 5.528264 7.546595 0.000000 15.618386 0.000000 0.000000 0.000000 
5000.00 1428.15 100.119844 33.664493 4.395026 0.000000 0.000000 5.607029 7.762785 0.000000 15.899653 0.000000 0.000000 0.000000 
5000.00 1423.15 100.118808 33.607751 3.836192 0.000000 0.000000 5.685618 7.968185 0.000000 16.110787 0.000000 0.000000 0.006970 
5000.00 1418.15 100.117828 33.556600 3.363074 0.000000 0.000000 5.757714 8.157922 0.000000 16.264210 0.000000 0.000000 0.013680 
5000.00 1413.15 100.116822 33.510406 2.960534 0.000000 0.000000 5.821267 8.334433 0.000000 16.374285 0.000000 0.000000 0.019887 
5000.00 1408.15 100.115703 33.468588 2.615188 0.000000 0.000000 5.874685 8.499770 0.000000 16.453267 0.000000 0.000000 0.025678 
5000.00 1403.15 100.114399 33.430761 2.317327 0.000000 0.000000 5.917145 8.654739 0.000000 16.510458 0.000000 0.000000 0.031092 
5000.00 1398.15 100.112502 33.385557 1.650735 0.000000 0.000000 6.164050 8.586237 0.000000 16.779313 0.000000 0.153037 0.052184 
5000.00 1393.15 100.110442 33.357620 1.288831 0.000000 0.000000 6.280191 8.569901 0.000000 16.930064 0.000000 0.225656 0.062976 
5000.00 1388.15 100.108324 33.336683 1.020615 0.000000 0.000000 6.362155 8.549343 0.000000 17.052972 0.000000 0.280570 0.071027 
5000.00 1383.15 100.106227 33.320217 0.814237 0.000000 0.000000 6.421412 8.527538 0.000000 17.156317 0.000000 0.323443 0.077269 
5000.00 1378.15 100.104194 33.306691 0.650288 0.000000 0.000000 6.465204 8.505969 0.000000 17.245117 0.000000 0.357838 0.082274 
5000.00 1373.15 100.102249 33.295142 0.516671 0.000000 0.000000 6.498339 8.485307 0.000000 17.322351 0.000000 0.386063 0.086411 
